Breed	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
RAFEIRO DO ALENTEJO	PORTUGAL	96	RAFEIRO OF ALENTEJO	https://www.fci.be/en/nomenclature/RAFEIRO-OF-ALENTEJO-96.html	Pinscher	Definitive
CIOBANESC ROMÂNESC DE BUCOVINA	ROMANIA	357	ROMANIAN BUCOVINA SHEPHERD	https://www.fci.be/en/nomenclature/ROMANIAN-BUCOVINA-SHEPHERD-357.html	Pinscher	Definitive
KAVKAZSKAÏA OVTCHARKA	RUSSIAN FEDERATION	328	CAUCASIAN SHEPHERD DOG	https://www.fci.be/en/nomenclature/CAUCASIAN-SHEPHERD-DOG-328.html	Pinscher	Definitive
SREDNEASIATSKAYA OVTCHARKA	RUSSIAN FEDERATION	335	CENTRAL ASIA SHEPHERD DOG	https://www.fci.be/en/nomenclature/CENTRAL-ASIA-SHEPHERD-DOG-335.html	Pinscher	Definitive
KRASKI OVCAR	SLOVENIA	278	KARST SHEPHERD DOG	https://www.fci.be/en/nomenclature/KARST-SHEPHERD-DOG-278.html	Pinscher	Definitive
MASTÍN DEL PIRINEO	SPAIN	92	PYRENEAN MASTIFF	https://www.fci.be/en/nomenclature/PYRENEAN-MASTIFF-92.html	Pinscher	Definitive
MASTÍN ESPAÑOL	SPAIN	91	SPANISH MASTIFF	https://www.fci.be/en/nomenclature/SPANISH-MASTIFF-91.html	Pinscher	Definitive
ST.BERNHARDSHUND - BERNHARDINER	SWITZERLAND	61	ST. BERNARD	https://www.fci.be/en/nomenclature/ST-BERNARD-61.html	Pinscher	Definitive
DO-KHYI	Tibet (China)	230	TIBETAN MASTIFF	https://www.fci.be/en/nomenclature/TIBETAN-MASTIFF-230.html	Pinscher	Definitive
KANGAL ÇOBAN KÖPEGI	TURKEY	331	KANGAL SHEPHERD DOG	https://www.fci.be/en/nomenclature/KANGAL-SHEPHERD-DOG-331.html	Pinscher	Definitive
APPENZELLER SENNENHUND	SWITZERLAND	46	APPENZELL CATTLE DOG	https://www.fci.be/en/nomenclature/APPENZELL-CATTLE-DOG-46.html	Pinscher	Definitive
BERNER SENNENHUND	SWITZERLAND	45	BERNESE MOUNTAIN DOG	https://www.fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html	Pinscher	Definitive
ENTLEBUCHER SENNENHUND	SWITZERLAND	47	ENTLEBUCH CATTLE DOG	https://www.fci.be/en/nomenclature/ENTLEBUCH-CATTLE-DOG-47.html	Pinscher	Definitive
GROSSER SCHWEIZER SENNENHUND	SWITZERLAND	58	GREAT SWISS MOUNTAIN DOG	https://www.fci.be/en/nomenclature/GREAT-SWISS-MOUNTAIN-DOG-58.html	Pinscher	Definitive
