	Breed code	Breed code source	Synonyms	Country of Origin	Source of recognition status
Affenpinscher	CB1	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=1	Affen| Affie| Monkey Dog| Monkey Terrier	Germany, France	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Affenpinscher
Afghan Hound	CB2	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=2	Afghan Hound| Tazi| Tazhi Spay, Da| Kochyano Spay, Sage| Balochi, Ogar Afgan| Barakzai Hound, Eastern| Greyhound/Persian| Greyhound	Afghanistan	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Afghan-Hound
Airedale Terrier	CB3	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=3	Airedale| King of Terriers| Waterside Terrier| Bingley Terrier	United Kingdom (England)	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Airedale-Terrier
Akita	CB4	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=4	Akita| Akita Inu| Akita Ken| Japanese Akita| American Akita| Great Japanese Dog	Japan	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Akita
Alaskan Malamute	CB5	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=5	Mal| Mally| Alaskan Malamute	United States	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Alaskan-Malamute
American Foxhound	CB8	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=8	Foxhound| American Foxhound	United States	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Foxhound-American
