Breed,Source,Organization,Country,TransboundaryName
Bulldog,https://www.akc.org/dog-breeds/bulldog/,AKC,USA,Bulldog
Bullmastiff,https://www.akc.org/dog-breeds/bullmastiff/,AKC,USA,Bullmastiff
Cairn Terrier,https://www.akc.org/dog-breeds/cairn-terrier/,AKC,USA,Cairn Terrier
Canaan Dog,https://www.akc.org/dog-breeds/canaan-dog/,AKC,USA,Canaan Dog
Cane Corso,https://www.akc.org/dog-breeds/cane-corso/,AKC,USA,Cane Corso
Cardigan Welsh Corgi,https://www.akc.org/dog-breeds/cardigan-welsh-corgi/,AKC,USA,Cardigan Welsh Corgi
Carolina Dog,https://www.akc.org/dog-breeds/carolina-dog/,AKC,USA,Carolina Dog
Catahoula Leopard Dog,https://www.akc.org/dog-breeds/catahoula-leopard-dog/,AKC,USA,Catahoula Leopard Dog
Caucasian Shepherd Dog,https://www.akc.org/dog-breeds/caucasian-shepherd-dog/,AKC,USA,Caucasian Shepherd Dog
Cavalier King Charles Spaniel,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/,AKC,USA,Cavalier King Charles Spaniel
Central Asian Shepherd Dog,https://www.akc.org/dog-breeds/central-asian-shepherd-dog/,AKC,USA,Central Asian Shepherd Dog
Cesky Terrier,https://www.akc.org/dog-breeds/cesky-terrier/,AKC,USA,Cesky Terrier
Chesapeake Bay Retriever,https://www.akc.org/dog-breeds/chesapeake-bay-retriever/,AKC,USA,Chesapeake Bay Retriever
Chihuahua,https://www.akc.org/dog-breeds/chihuahua/,AKC,USA,Chihuahua
Chinese Crested,https://www.akc.org/dog-breeds/chinese-crested/,AKC,USA,Chinese Crested
Chinese Shar-Pei,https://www.akc.org/dog-breeds/chinese-shar-pei/,AKC,USA,Chinese Shar-Pei
Chinook,https://www.akc.org/dog-breeds/chinook/,AKC,USA,Chinook
Chow Chow,https://www.akc.org/dog-breeds/chow-chow/,AKC,USA,Chow Chow
Cirneco dell’Etna,https://www.akc.org/dog-breeds/cirneco-delletna/,AKC,USA,Cirneco dell’Etna
Clumber Spaniel,https://www.akc.org/dog-breeds/clumber-spaniel/,AKC,USA,Clumber Spaniel
Cocker Spaniel,https://www.akc.org/dog-breeds/cocker-spaniel/,AKC,USA,Cocker Spaniel
Collie,https://www.akc.org/dog-breeds/collie/,AKC,USA,Collie
Coton de Tulear,https://www.akc.org/dog-breeds/coton-de-tulear/,AKC,USA,Coton de Tulear
Croatian Sheepdog,https://www.akc.org/dog-breeds/croatian-sheepdog/,AKC,USA,Croatian Sheepdog
Curly-Coated Retriever,https://www.akc.org/dog-breeds/curly-coated-retriever/,AKC,USA,Curly-Coated Retriever
Czechoslovakian Vlcak,https://www.akc.org/dog-breeds/czechoslovakian-vlcak/,AKC,USA,Czechoslovakian Vlcak
Dachshund,https://www.akc.org/dog-breeds/dachshund/,AKC,USA,Dachshund
Dalmatian,https://www.akc.org/dog-breeds/dalmatian/,AKC,USA,Dalmatian
Dandie Dinmont Terrier,https://www.akc.org/dog-breeds/dandie-dinmont-terrier/,AKC,USA,Dandie Dinmont Terrier
Danish-Swedish Farmdog,https://www.akc.org/dog-breeds/danish-swedish-farmdog/,AKC,USA,Danish-Swedish Farmdog
Deutscher Wachtelhund,https://www.akc.org/dog-breeds/deutscher-wachtelhund/,AKC,USA,Deutscher Wachtelhund
Doberman Pinscher,https://www.akc.org/dog-breeds/doberman-pinscher/,AKC,USA,Doberman Pinscher
Dogo Argentino,https://www.akc.org/dog-breeds/dogo-argentino/,AKC,USA,Dogo Argentino
Dogue de Bordeaux,https://www.akc.org/dog-breeds/dogue-de-bordeaux/,AKC,USA,Dogue de Bordeaux
Drentsche Patrijshond,https://www.akc.org/dog-breeds/drentsche-patrijshond/,AKC,USA,Drentsche Patrijshond
Drever,https://www.akc.org/dog-breeds/drever/,AKC,USA,Drever
Dutch Shepherd,https://www.akc.org/dog-breeds/dutch-shepherd/,AKC,USA,Dutch Shepherd
English Cocker Spaniel,https://www.akc.org/dog-breeds/english-cocker-spaniel/,AKC,USA,English Cocker Spaniel
English Foxhound,https://www.akc.org/dog-breeds/english-foxhound/,AKC,USA,English Foxhound
English Setter,https://www.akc.org/dog-breeds/english-setter/,AKC,USA,English Setter
English Springer Spaniel,https://www.akc.org/dog-breeds/english-springer-spaniel/,AKC,USA,English Springer Spaniel
English Toy Spaniel,https://www.akc.org/dog-breeds/english-toy-spaniel/,AKC,USA,English Toy Spaniel
Entlebucher Mountain Dog,https://www.akc.org/dog-breeds/entlebucher-mountain-dog/,AKC,USA,Entlebucher Mountain Dog
Estrela Mountain Dog,https://www.akc.org/dog-breeds/estrela-mountain-dog/,AKC,USA,Estrela Mountain Dog
Eurasier,https://www.akc.org/dog-breeds/eurasier/,AKC,USA,Eurasier
Field Spaniel,https://www.akc.org/dog-breeds/field-spaniel/,AKC,USA,Field Spaniel
Finnish Lapphund,https://www.akc.org/dog-breeds/finnish-lapphund/,AKC,USA,Finnish Lapphund
Finnish Spitz,https://www.akc.org/dog-breeds/finnish-spitz/,AKC,USA,Finnish Spitz
Flat-Coated Retriever,https://www.akc.org/dog-breeds/flat-coated-retriever/,AKC,USA,Flat-Coated Retriever
French Bulldog,https://www.akc.org/dog-breeds/french-bulldog/,AKC,USA,French Bulldog
French Spaniel,https://www.akc.org/dog-breeds/french-spaniel/,AKC,USA,French Spaniel
German Longhaired Pointer,https://www.akc.org/dog-breeds/german-longhaired-pointer/,AKC,USA,German Longhaired Pointer
German Pinscher,https://www.akc.org/dog-breeds/german-pinscher/,AKC,USA,German Pinscher
German Shepherd Dog,https://www.akc.org/dog-breeds/german-shepherd-dog/,AKC,USA,German Shepherd Dog
