Breed	iDog_ID	iDog_Ref	Alt_Names	Country_of_Origin	AKC	CKC	UKC	FCI
Australian Shepherd	CB16	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=16	Australian Shepherd|Aussie|little blue dog	United States	http://akc.org/dog-breeds/australian-shepherd	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Australian-Shepherd	https://www.ukcdogs.com/australian-shepherd	http://www.fci.be/en/nomenclature/AUSTRALIAN-SHEPHERD-342.html
Australian Terrier	CB17	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=17	Aussie|Australian Terrier	Australia	http://akc.org/dog-breeds/australian-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Australian-Terrier	https://www.ukcdogs.com/australian-terrier	http://www.fci.be/en/nomenclature/AUSTRALIAN-TERRIER-8.html
Azawakh	CB18	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=18	Azawakh|Idi|Hanshee|Oska|Rawondu|Bareeru|Wulo|(formerly) Tuareg Sloughi	Mali	http://akc.org/dog-breeds/azawakh	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Azawakh	https://www.ukcdogs.com/azawakh	http://www.fci.be/en/nomenclature/AZAWAKH-307.html
Barbet	CB19	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=19	Barbet|French Water Dog	France	http://akc.org/dog-breeds/barbet	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Barbet	https://www.ukcdogs.com/barbet	http://www.fci.be/en/nomenclature/FRENCH-WATER-DOG-105.html
Basenji	CB20	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=20	Basenji|African Bush Dog|African Barkless Dog|Ango Angari|Congo Dog|Zande Dog	Democratic Republic of the Congo	http://akc.org/dog-breeds/basenji	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Basenji	https://www.ukcdogs.com/basenji	http://www.fci.be/en/nomenclature/BASENJI-43.html
Basset Fauve de Bretagne	CB21	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=21	Basset Fauve de Bretagne|Fawn Brittany Basset	France	http://akc.org/dog-breeds/basset-fauve-de-bretagne		https://www.ukcdogs.com/basset-fauve-de-bretagne	http://www.fci.be/en/nomenclature/BASSET-FAUVE-DE-BRETAGNE-36.html
Basset Hound	CB22	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=22	Basset Hound|Basset|Hush Puppy	France	http://akc.org/dog-breeds/basset-hound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Basset-Hound	https://www.ukcdogs.com/basset-hound	http://www.fci.be/en/nomenclature/BASSET-HOUND-163.html
Bavarian Mountain Scent Hound	CB23	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=23	Bavarian Mountain Scent Hound|Bavarian Mountain Scent Hound		http://akc.org/dog-breeds/bavarian-mountain-scent-hound			http://www.fci.be/en/nomenclature/BAVARIAN-MOUNTAIN-SCENT-HOUND-217.html
Beagle	CB24	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=24	Beagle|English Beagle	United Kingdom (England)	http://akc.org/dog-breeds/beagle	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Beagle	https://www.ukcdogs.com/beagle	http://www.fci.be/en/nomenclature/BEAGLE-161.html
Bearded Collie	CB25	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=25	Beardie|Highland Collie|Mountain Collie|Hairy Mou'ed Collie	United Kingdom (Scotland)	http://akc.org/dog-breeds/bearded-collie	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Bearded-Collie	https://www.ukcdogs.com/bearded-collie	http://www.fci.be/en/nomenclature/BEARDED-COLLIE-271.html
Beauceron	CB26	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=26	Beauceron|French Shorthaired Shepherd|Beauce Sheep dog|Beauce Shepherd|Berger de Beauce|Bas Rouge|French Short-Haired Shepherd Dog	France	http://akc.org/dog-breeds/beauceron	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Beauceron	https://www.ukcdogs.com/beauceron	http://www.fci.be/en/nomenclature/BERGER-DE-BEAUCE-44.html
Bedlington Terrier	CB27	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=27	Bedlington Terrier|Rothbury Terrier|Rodbery Terrier|Rothbury's Lamb	United Kingdom	http://akc.org/dog-breeds/bedlington-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Bedlington-Terrier	https://www.ukcdogs.com/bedlington-terrier	http://www.fci.be/en/nomenclature/BEDLINGTON-TERRIER-9.html
Belgian Laekenois	CB28	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=28	Belgian Laekenois|Laekenois|Belgian Shepherd Dog (Laeken)|Chien de Berger Belge	Belgium	http://akc.org/dog-breeds/belgian-laekenois			
Belgian Malinois	CB29	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=29	Belgian Malinois|(Chien de Berger Belge)|Mechelaar|Mechelse Herder|Mechelse Scheper|Pastor Belga Malinois	Belgium	http://akc.org/dog-breeds/belgian-malinois			
Belgian Sheepdog	CB30	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=30	Belgian Sheepdog|Belgian Shepherd|Chien de Berger Belge	Belgium	http://akc.org/dog-breeds/belgian-sheepdog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Belgian-Shepherd-Dog	https://www.ukcdogs.com/belgian-shepherd-dog	http://www.fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html
Belgian Tervuren	CB31	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=31	Belgian Tervuren|Chien de Berger Belge	Belgium	http://akc.org/dog-breeds/belgian-tervuren			
Bergamasco Sheepdog	CB32	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=32	Bergamasco Sheepdog|Bergamasco Shepherd|Bergamasco Shepherd Dog|Bergamasco|Cane da pastore Bergamasco	Italy	http://akc.org/dog-breeds/bergamasco-sheepdog		https://www.ukcdogs.com/bergamasco	http://www.fci.be/en/nomenclature/BERGAMASCO-SHEPHERD-DOG-194.html
Berger Picard	CB33	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=33	Berger Picard|Picard|Berger de Picardie|Picardy Shepherd|Picardy Sheepdog	France	http://akc.org/dog-breeds/berger-picard	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Berger-Picard	https://www.ukcdogs.com/berger-picard-	http://www.fci.be/en/nomenclature/PICARDY-SHEEPDOG-176.html
Bernese Mountain Dog	CB34	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=34	Berner|Berner Sennenhund|Bernese Cattle Dog	Switzerland	http://akc.org/dog-breeds/bernese-mountain-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Bernese-Mountain-Dog	https://www.ukcdogs.com/bernese-mountain-dog	http://www.fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html
Bichon Frise	CB35	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=35	Bichon Frise|Bichón Tenerife|Bichon à poil frisé	Spain, Belgium	http://akc.org/dog-breeds/bichon-frise	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Bichon-Frise	https://www.ukcdogs.com/bichon-frise	http://www.fci.be/en/nomenclature/BICHON-FRISE-215.html
Biewer Terrier	CB36	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=36	Biewer Terrier|Biewer Terrier		http://akc.org/dog-breeds/biewer-terrier		https://www.ukcdogs.com/biewer-terrier	
Black and Tan Coonhound	CB37	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=37	Black and Tan Coonhound|American Black and Tan Coonhound	United States	http://akc.org/dog-breeds/black-and-tan-coonhound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Coonhound-Black-Tan	https://www.ukcdogs.com/american-black-and-tan-coonhound	http://www.fci.be/en/nomenclature/BLACK-AND-TAN-COONHOUND-300.html
Black Russian Terrier	CB38	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=38	Black Russian Terrier|Tchiorny Terrier|BRT|Russian Black Terrier	Russia	http://akc.org/dog-breeds/black-russian-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Black-Russian-Terrier	https://www.ukcdogs.com/black-russian-terrier	http://www.fci.be/en/nomenclature/RUSSIAN-BLACK-TERRIER-327.html
Bloodhound	CB39	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=39	Bloodhound|Chien de Saint-Hubert|St. Hubert Hound	Belgium, France	http://akc.org/dog-breeds/bloodhound	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Bloodhound	https://www.ukcdogs.com/bloodhound	http://www.fci.be/en/nomenclature/BLOODHOUND-84.html
Bluetick Coonhound	CB40	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=40	Bluetick Coonhound|Bluetick Coonhound	United States	http://akc.org/dog-breeds/bluetick-coonhound		https://www.ukcdogs.com/bluetick-coonhound	
Boerboel	CB41	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=41	Boerboel|South African Mastiff	South Africa	http://akc.org/dog-breeds/boerboel		https://www.ukcdogs.com/south-african-boerboel	
Bolognese	CB42	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=42	Bolognese|Bichon Bolognese|the Bolognese Toy Dog|the Bologneser|Bolo|the Botoli|the Bottolo	Italy	http://akc.org/dog-breeds/bolognese		https://www.ukcdogs.com/bolognese	http://www.fci.be/en/nomenclature/BOLOGNESE-196.html
Border Collie	CB43	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=43	Border Collie|Scottish Sheepdog	United Kingdom (Scotland, England, Wales)	http://akc.org/dog-breeds/border-collie	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Border-Collie-England	https://www.ukcdogs.com/border-collie	http://www.fci.be/en/nomenclature/BORDER-COLLIE-297.html
Border Terrier	CB44	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=44	Border Terrier|Border Terrier	United Kingdom (Scotland, England)	http://akc.org/dog-breeds/border-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Border-Terrier	https://www.ukcdogs.com/border-terrier	http://www.fci.be/en/nomenclature/BORDER-TERRIER-10.html
Borzoi	CB45	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=45	Borzoi|Barzoi|Russian Wolfhound|Russian Hunting Sighthound|Russkaya Psovaya Borzaya	Russia	http://akc.org/dog-breeds/borzoi	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Hounds/Borzoi	https://www.ukcdogs.com/borzoi	http://www.fci.be/en/nomenclature/BORZOI-RUSSIAN-HUNTING-SIGHTHOUND-193.html
Boston Terrier	CB46	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=46	Boston Terrier|Boston Bull|Boston Bull Terrier|Boxwood|American Gentlemen	United States	http://akc.org/dog-breeds/boston-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Boston-Terrier	https://www.ukcdogs.com/boston-terrier	http://www.fci.be/en/nomenclature/BOSTON-TERRIER-140.html
Bouvier des Flandres	CB47	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=47	Bouvier des Flandres|Flanders Cattle Dog|Vlaamse Koehond|Toucheur de Boeuf|Vuilbaard (dirty beard)	Belgium	http://akc.org/dog-breeds/bouvier-des-flandres	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Bouvier-des-Flandres	https://www.ukcdogs.com/bouvier-des-flandres	http://www.fci.be/en/nomenclature/BOUVIER-DES-FLANDRES-191.html
Boxer	CB48	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=48	Boxer|German Boxer|Deutscher Boxer	Germany	http://akc.org/dog-breeds/boxer	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Boxer	https://www.ukcdogs.com/boxer	http://www.fci.be/en/nomenclature/BOXER-144.html
Boykin Spaniel	CB49	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=49	Boykin Spaniel|Boykin|Swamp Poodle|LBD (Little Brown Dog)	United States	http://akc.org/dog-breeds/boykin-spaniel		https://www.ukcdogs.com/boykin-spaniel	
Bracco Italiano	CB50	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=50	Bracco Italiano|Italian Pointer|Italian Pointing Dog	Italy	http://akc.org/dog-breeds/bracco-italiano		https://www.ukcdogs.com/bracco-italiano	http://www.fci.be/en/nomenclature/ITALIAN-POINTING-DOG-202.html
Braque du Bourbonnais	CB51	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=51	Braque du Bourbonnais|Bourbonnais Pointer|Bourbonnais Pointing Dog	France	http://akc.org/dog-breeds/braque-du-bourbonnais		https://www.ukcdogs.com/braque-de-bourbonnais	http://www.fci.be/en/nomenclature/BOURBONNAIS-POINTING-DOG-179.html
Braque Francais Pyrenean	CB52	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=52	Braque Francais Pyrenean|French Pointing Dog-Pyrenean type|Braque Francais, de Petite Taille		http://akc.org/dog-breeds/braque-francais-pyrenean	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Braque-Francais-Pyrenees	https://www.ukcdogs.com/braque-francais-de-petite-taille	http://www.fci.be/en/nomenclature/FRENCH-POINTING-DOG-PYRENEAN-TYPE-134.html
Briard	CB53	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=53	Briard|Berger de Brie|Berger Briard	France	http://akc.org/dog-breeds/briard	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Briard	https://www.ukcdogs.com/briard	http://www.fci.be/en/nomenclature/BRIARD-113.html
Brittany	CB54	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=54	Brittany|Brittany Spaniel|Brittany Wiegref|Epagneul Breton|French Brittany	France	http://akc.org/dog-breeds/brittany	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-Brittany	https://www.ukcdogs.com/brittany	http://www.fci.be/en/nomenclature/BRITTANY-SPANIEL-95.html
Broholmer	CB55	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=55	Broholmer|Danish Broholmer|Danish Mastiff	Denmark	http://akc.org/dog-breeds/broholmer		https://www.ukcdogs.com/danish-broholmer	http://www.fci.be/en/nomenclature/BROHOLMER-315.html
Brussels Griffon	CB56	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=56	Griffon|Griff|Bruss|Griffon Bruxellois|Belgium Griffon|Petit Brabancon|Griffon Belge|Brabancon Griffon	Belgium	http://akc.org/dog-breeds/brussels-griffon	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Griffon-Brussels	https://www.ukcdogs.com/brussels-griffon	
Bull Terrier	CB57	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=57	Bull Terrier|English Bull Terrier|Bully|The White Cavalier|Wedge Head|The Gentleman's Companion|Gladiator	United Kingdom (England)	http://akc.org/dog-breeds/bull-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Bull-Terrier	https://www.ukcdogs.com/bull-terrier	http://www.fci.be/en/nomenclature/BULL-TERRIER-11.html
Bulldog	CB58	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=58	Bulldog|British Bulldog|English Bulldog	United Kingdom (England)	http://akc.org/dog-breeds/bulldog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Bulldog	https://www.ukcdogs.com/english-bulldog	http://www.fci.be/en/nomenclature/BULLDOG-149.html
Bullmastiff	CB59	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=59	Bullmastiff|Bullmastiff	United Kingdom (England)	http://akc.org/dog-breeds/bullmastiff	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Bullmastiff	https://www.ukcdogs.com/bullmastiff	http://www.fci.be/en/nomenclature/BULLMASTIFF-157.html
Cairn Terrier	CB60	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=60	Cairn Terrier|Cairn Terrier	United Kingdom (Scotland)	http://akc.org/dog-breeds/cairn-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Cairn-Terrier	https://www.ukcdogs.com/cairn-terrier	http://www.fci.be/en/nomenclature/CAIRN-TERRIER-4.html
Canaan Dog	CB61	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=61	Canaan Dog|Canaan Dog	Middle East Lebanon - Israel	http://akc.org/dog-breeds/canaan-dog	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Canaan-Dog	https://www.ukcdogs.com/cannan-dog	http://www.fci.be/en/nomenclature/CANAAN-DOG-273.html
Cane Corso	CB62	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=62	Cane Corso|Italian Mastiff|Italian Corso Dog|Italian Corso|Cane Corso Italiano	Italy	http://akc.org/dog-breeds/cane-corso	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Working-Dogs/Cane-Corso-Listed	https://www.ukcdogs.com/cane-corso-italiano	http://www.fci.be/en/nomenclature/ITALIAN-CORSO-DOG-343.html
Cardigan Welsh Corgi	CB63	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=63	Cardigan Welsh Corgi|Cardigan|CWC|Cardi	Wales	http://akc.org/dog-breeds/cardigan-welsh-corgi	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Herding-Dogs/Welsh-Corgi-Cardigan	https://www.ukcdogs.com/cardigan-welsh-corgi	
Carolina Dog	CB64	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=64	Carolina Dog|Carolina Dog	United States	http://akc.org/dog-breeds/carolina-dog		https://www.ukcdogs.com/carolina-dog	
Catahoula Leopard Dog	CB65	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=65	Catahoula Leopard Dog|Catahoula Hog Dog|Catahoula Hound|Leopard Dog|Louisiana Catahoula	United States	http://akc.org/dog-breeds/catahoula-leopard-dog		https://www.ukcdogs.com/louisiana-catahoula-leopard-dog	
Caucasian Shepherd Dog	CB66	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=66	Caucasian Shepherd Dog|Caucasian Mountain Dog|Caucasian Ovcharka	Georgia, Armenia, Azerbaijan	http://akc.org/dog-breeds/caucasian-shepherd-dog		https://www.ukcdogs.com/caucasian-ovcharka	http://www.fci.be/en/nomenclature/CAUCASIAN-SHEPHERD-DOG-328.html
Cavalier King Charles Spaniel	CB67	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=67	Cavalier King Charles Spaniel|Cavalier King Charles Spaniel	United Kingdom (England)	http://akc.org/dog-breeds/cavalier-king-charles-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Cavalier-King-Charles-Spaniel	https://www.ukcdogs.com/cavalier-king-charles-spaniel	http://www.fci.be/en/nomenclature/CAVALIER-KING-CHARLES-SPANIEL-136.html
Central Asian Shepherd Dog	CB68	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=68	Central Asian Shepherd Dog|Alabai|Central Asian Ovtcharka|CAO|Aziat	Russia	http://akc.org/dog-breeds/central-asian-shepherd-dog		https://www.ukcdogs.com/central-asian-shepherd-dog	http://www.fci.be/en/nomenclature/CENTRAL-ASIA-SHEPHERD-DOG-335.html
Cesky Terrier	CB69	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=69	Cesky Terrier|Bohemian Terrier	Czech Republic	http://akc.org/dog-breeds/cesky-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Cesky-Terrier	https://www.ukcdogs.com/cesky-terrier	http://www.fci.be/en/nomenclature/CESKY-TERRIER-246.html
Chesapeake Bay Retriever	CB70	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=70	Chesapeake Bay Retriever|Chessie|CBR|Chesapeake	United States	http://akc.org/dog-breeds/chesapeake-bay-retriever	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Retriever-Chesapeake-Bay	https://www.ukcdogs.com/chesapeake-bay-retriever	http://www.fci.be/en/nomenclature/CHESAPEAKE-BAY-RETRIEVER-263.html
Chihuahua	CB71	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=71	Chi|chihuahueno	Mexico	http://akc.org/dog-breeds/chihuahua		https://www.ukcdogs.com/chihuahua	http://www.fci.be/en/nomenclature/CHIHUAHUA-218.html
Chinese Crested	CB72	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=72	Crested|Puff|Curtis|Chinese Crested	Africa, Mexico	http://akc.org/dog-breeds/chinese-crested	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Chinese-Crested	https://www.ukcdogs.com/chinese-crested	http://www.fci.be/en/nomenclature/CHINESE-CRESTED-DOG-288.html
Chinese Shar-Pei	CB73	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=73	Chinese Shar-Pei|Cantonese Shar-Pei	China	http://akc.org/dog-breeds/chinese-shar-pei	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Chinese-Shar-Pei	https://www.ukcdogs.com/chinese-shar-pei	http://www.fci.be/en/nomenclature/SHAR-PEI-309.html
Chinook	CB74	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=74	Chinook|Chinook	United States	http://akc.org/dog-breeds/chinook		https://www.ukcdogs.com/chinook	
Chow Chow	CB75	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=75	Chow Chow|Chow|Chowdren	China	http://akc.org/dog-breeds/chow-chow	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Chow-Chow	https://www.ukcdogs.com/chow-chow	http://www.fci.be/en/nomenclature/CHOW-CHOW-205.html
Cirneco dell'Etna	CB76	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=76	Cirneco|Cirneco dell'Etna	Italy	https://www.akc.org/dog-breeds/cirneco-delletna/		https://www.ukcdogs.com/cirneco-dell-etna	http://www.fci.be/en/nomenclature/CIRNECO-DELL-ETNA-199.html
Clumber Spaniel	CB77	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=77	Clumber Spaniel|Clumber Spaniel	United Kingdom (England)	http://akc.org/dog-breeds/clumber-spaniel	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Spaniel-Clumber	https://www.ukcdogs.com/clumber-spaniel	http://www.fci.be/en/nomenclature/CLUMBER-SPANIEL-109.html
Cocker Spaniel	CB78	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=78	Cockers|American Cocker Spaniel (American breed outside of America)|English Cocker Spaniel (British breed|outside of Britain)		http://akc.org/dog-breeds/cocker-spaniel		https://www.ukcdogs.com/cocker-spaniel	
Collie	CB79	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=79	Collie|Collie		http://akc.org/dog-breeds/collie		https://www.ukcdogs.com/collie	
Coton de Tulear	CB80	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=80	Coton|Cotie|Coton de Tulear	Madagascar	http://akc.org/dog-breeds/coton-de-tulear	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Toy-Dogs/Coton-de-Tulear	https://www.ukcdogs.com/coton-de-tulear	http://www.fci.be/en/nomenclature/COTON-DE-TULEAR-283.html
Curly-Coated Retriever	CB81	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=81	Curly|CCR|Curly-Coated Retriever	United Kingdom (England)	http://akc.org/dog-breeds/curly-coated-retriever	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Sporting-Dogs/Retriever-Curly-coated	https://www.ukcdogs.com/curly-coated-retriever	http://www.fci.be/en/nomenclature/CURLY-COATED-RETRIEVER-110.html
Czechoslovakian Vlcak	CB82	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=82	Czechoslovakian Vlcak|Czechoslovakian Wolfdog|Ceskoslovenský Vlciak	Czechoslovak Socialist Republic	http://akc.org/dog-breeds/czechoslovakian-vlcak		https://www.ukcdogs.com/czechoslovakian-vlcak	http://www.fci.be/en/nomenclature/CZECHOSLOVAKIAN-WOLFDOG-332.html
Dachshund	CB83	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=83	Teckel (BNL/FR/GER)|Dackel (GER)|Weenie Dog (US) (S.Am.)|Wiener Dog/Hotdog (US)|Sausage Dog (UK/US/AUS/ZA)|Salsichinha (BR)|Bassotto (I)|Sosis (TR)|Perro Salchicha (ES/MX)|Worshond (ZA)|Taksis (LV)|Jamnik (PL)|Badger Dog (literal translation)|Tax (SE)|Dachshund	Germany	http://akc.org/dog-breeds/dachshund		https://www.ukcdogs.com/dachshund	http://www.fci.be/en/nomenclature/DACHSHUND-148.html
Dalmatian	CB84	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=84	Dalmatian|Carriage Dog|English Coach Dog|Fire House Dog|Plum Pudding Dog|Spotted Coach Dog	Croatia	http://akc.org/dog-breeds/dalmatian	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Non-Sporting-Dogs/Dalmatian	https://www.ukcdogs.com/dalmatian	http://www.fci.be/en/nomenclature/DALMATIAN-153.html
Dandie Dinmont Terrier	CB85	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=85	Dandie|Hindlee Terrier|Dandie Dinmont Terrier	United Kingdom (Scotland)	http://akc.org/dog-breeds/dandie-dinmont-terrier	https://www.ckc.ca/en/Choosing-a-Dog/Choosing-a-Breed/Terriers/Dandie-Dinmont-Terrier	https://www.ukcdogs.com/dandie-dinmont-terrier	http://www.fci.be/en/nomenclature/DANDIE-DINMONT-TERRIER-168.html
Danish-Swedish Farmdog	CB86	https://ngdc.cncb.ac.cn/idog/breed/getBreedDetail.action?breedId=86	Danish-Swedish Farmdog|Scanian terrier	Denmark, Sweden	http://akc.org/dog-breeds/danish-swedish-farmdog		https://www.ukcdogs.com/danish-swedish-farmdog	http://www.fci.be/en/nomenclature/DANISH-SWEDISH-FARMDOG-356.html
