Breed	Variety	Breed Group (KC)	Import Status (KC)	Source (KC)
Cavalier King Charles Spaniel		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/cavalier-king-charles-spaniel/
Cesky Terrier		Terrier	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/terrier/cesky-terrier/
Chihuahua	Long Coat	Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/chihuahua-long-coat/
Chihuahua	Smooth Coat	Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/chihuahua-smooth-coat/
Chinese Crested		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/chinese-crested/
Chow Chow		Utility	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/utility/chow-chow/
Cirneco Dell'Etna		Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/cirneco-delletna/
Collie	Rough	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/collie-rough/
Collie	Smooth	Pastoral	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/pastoral/collie-smooth/
Coton De Tulear		Toy	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/toy/coton-de-tulear/
Dachshund	Long Haired	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/dachshund-long-haired/
Dachshund	Miniature Long Haired	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/dachshund-miniature-long-haired/
Dachshund	Miniature Smooth Haired	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/dachshund-miniature-smooth-haired/
Dachshund	Miniature Wire Haired	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/dachshund-miniature-wire-haired/
Dachshund	Smooth Haired	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/dachshund-smooth-haired/
Dachshund	Wire Haired	Hound	False	https://www.thekennelclub.org.uk/search/breeds-a-to-z/breeds/hound/dachshund-wire-haired/
