Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Perro Sin Pelo Del Perú	Medium-Sized	Peru	310	Peruvian Hairless Dog	https://www.fci.be/en/nomenclature/PERUVIAN-HAIRLESS-DOG-310.html	Spitz	Definitive
Perro Sin Pelo Del Perú	Miniature	Peru	310	Peruvian Hairless Dog	https://www.fci.be/en/nomenclature/PERUVIAN-HAIRLESS-DOG-310.html	Spitz	Definitive
Cirneco Dell'Etna		Italy	199		https://www.fci.be/en/nomenclature/CIRNECO-DELL-ETNA-199.html	Spitz	Definitive
Podengo Português	Small	Portugal	94	Portuguese Warren Hound-Portuguese Podengo	https://www.fci.be/en/nomenclature/PORTUGUESE-WARREN-HOUND-PORTUGUESE-PODENGO-94.html	Spitz	Definitive
Podengo Português	Medium-Sized	Portugal	94	Portuguese Warren Hound-Portuguese Podengo	https://www.fci.be/en/nomenclature/PORTUGUESE-WARREN-HOUND-PORTUGUESE-PODENGO-94.html	Spitz	Definitive
Podengo Português	Large	Portugal	94	Portuguese Warren Hound-Portuguese Podengo	https://www.fci.be/en/nomenclature/PORTUGUESE-WARREN-HOUND-PORTUGUESE-PODENGO-94.html	Spitz	Definitive
Podenco Canario		Spain	329	Canarian Warren Hound	https://www.fci.be/en/nomenclature/CANARIAN-WARREN-HOUND-329.html	Spitz	Definitive
Podenco Ibicenco	Smooth-Haired	Spain	89	Ibizan Podenco	https://www.fci.be/en/nomenclature/IBIZAN-PODENCO-89.html	Spitz	Definitive
Podenco Ibicenco	Rough-Haired)	Spain	89	Ibizan Podenco	https://www.fci.be/en/nomenclature/IBIZAN-PODENCO-89.html	Spitz	Definitive
Taiwan Dog		Taiwan	348		https://www.fci.be/en/nomenclature/TAIWAN-DOG-348.html	Spitz	Definitive
Thai Ridgeback Dog		Thailand	338		https://www.fci.be/en/nomenclature/THAI-RIDGEBACK-DOG-338.html	Spitz	Definitive
