Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Newfoundland	Black	Canada	50		https://www.fci.be/en/nomenclature/NEWFOUNDLAND-50.html	Pinscher	Definitive
Newfoundland	White And Black	Canada	50		https://www.fci.be/en/nomenclature/NEWFOUNDLAND-50.html	Pinscher	Definitive
Newfoundland	Brown	Canada	50		https://www.fci.be/en/nomenclature/NEWFOUNDLAND-50.html	Pinscher	Definitive
Chien De Montagne Des Pyrenees		France	137	Pyrenean Mountain Dog	https://www.fci.be/en/nomenclature/PYRENEAN-MOUNTAIN-DOG-137.html	Pinscher	Definitive
Hovawart	Black-Gold	Germany	190		https://www.fci.be/en/nomenclature/HOVAWART-190.html	Pinscher	Definitive
Hovawart	Black	Germany	190		https://www.fci.be/en/nomenclature/HOVAWART-190.html	Pinscher	Definitive
Hovawart	Blond	Germany	190		https://www.fci.be/en/nomenclature/HOVAWART-190.html	Pinscher	Definitive
Leonberger		Germany	145		https://www.fci.be/en/nomenclature/LEONBERGER-145.html	Pinscher	Definitive
Landseer (Europäisch-Kontinentaler Typ)		Germany, Switzerland	226	Landseer (European Continental Type)	https://www.fci.be/en/nomenclature/LANDSEER-EUROPEAN-CONTINENTAL-TYPE-226.html	Pinscher	Definitive
Aïdi (Chien De Montagne De L'Atlas)		Morocco	247	Atlas Mountain Dog (Aidi)	https://www.fci.be/en/nomenclature/ATLAS-MOUNTAIN-DOG-AIDI-247.html	Pinscher	Definitive
Jugoslovenski Ovcarski Pas-Sarplaninac		North Macedonia, Serbia	41	Yugoslavian Shepherd Dog - Sharplanina	https://www.fci.be/en/nomenclature/YUGOSLAVIAN-SHEPHERD-DOG-SHARPLANINA-41.html	Pinscher	Definitive
Cão De Castro Laboreiro		Portugal	170	Castro Laboreiro Dog	https://www.fci.be/en/nomenclature/CASTRO-LABOREIRO-DOG-170.html	Pinscher	Definitive
Cão Da Serra Da Estrela	Short-Haired	Portugal	173	Estrela Mountain Dog	https://www.fci.be/en/nomenclature/ESTRELA-MOUNTAIN-DOG-173.html	Pinscher	Definitive
Cão Da Serra Da Estrela	Long-Haired	Portugal	173	Estrela Mountain Dog	https://www.fci.be/en/nomenclature/ESTRELA-MOUNTAIN-DOG-173.html	Pinscher	Definitive
Rafeiro Do Alentejo		Portugal	96	Rafeiro Of Alentejo	https://www.fci.be/en/nomenclature/RAFEIRO-OF-ALENTEJO-96.html	Pinscher	Definitive
Ciobanesc Românesc De Bucovina		Romania	357	Romanian Bucovina Shepherd	https://www.fci.be/en/nomenclature/ROMANIAN-BUCOVINA-SHEPHERD-357.html	Pinscher	Definitive
