Breed	Variety	Country of Origin	FCI Number	Synonyms	Source of Recognition Status	Breed Group (FCI)	FCI Recognition Status
Yuzhnorusskaya Ovcharka		Russian Federation	326	South Russian Shepherd Dog	https://www.fci.be/en/nomenclature/SOUTH-RUSSIAN-SHEPHERD-DOG-326.html	Sheepdogs	Definitive
Ceskoslovenský Vlciak		Slovakia	332	Czechoslovakian Wolfdog	https://www.fci.be/en/nomenclature/CZECHOSLOVAKIAN-WOLFDOG-332.html	Sheepdogs	Definitive
Slovenský Cuvac		Slovakia	142	Slovakian Chuvach	https://www.fci.be/en/nomenclature/SLOVAKIAN-CHUVACH-142.html	Sheepdogs	Definitive
Gos D'Atura Català		Spain	87	Catalan Sheepdog	https://www.fci.be/en/nomenclature/CATALAN-SHEEPDOG-87.html	Sheepdogs	Definitive
Ca De Bestiar	Short-Haired	Spain	321	Majorca Shepherd Dog	https://www.fci.be/en/nomenclature/MAJORCA-SHEPHERD-DOG-321.html	Sheepdogs	Definitive
Ca De Bestiar	Long-Haired	Spain	321	Majorca Shepherd Dog	https://www.fci.be/en/nomenclature/MAJORCA-SHEPHERD-DOG-321.html	Sheepdogs	Definitive
Berger Blanc Suisse		Switzerland	347	White Swiss Shepherd Dog	https://www.fci.be/en/nomenclature/WHITE-SWISS-SHEPHERD-DOG-347.html	Sheepdogs	Definitive
Nederlandse Schapendoes		The Netherlands	313	Dutch Schapendoes	https://www.fci.be/en/nomenclature/DUTCH-SCHAPENDOES-313.html	Sheepdogs	Definitive
Hollandse Herdershond	Short-Haired	The Netherlands	223	Dutch Shepherd Dog	https://www.fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html	Sheepdogs	Definitive
Hollandse Herdershond	Long-Haired	The Netherlands	223	Dutch Shepherd Dog	https://www.fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html	Sheepdogs	Definitive
Hollandse Herdershond	Rough-Haired	The Netherlands	223	Dutch Shepherd Dog	https://www.fci.be/en/nomenclature/DUTCH-SHEPHERD-DOG-223.html	Sheepdogs	Definitive
Saarlooswolfhond		The Netherlands	311	Saarloos Wolfhond	https://www.fci.be/en/nomenclature/SAARLOOS-WOLFHOND-311.html	Sheepdogs	Definitive
Australian Shepherd		United States Of America	342		https://www.fci.be/en/nomenclature/AUSTRALIAN-SHEPHERD-342.html	Sheepdogs	Definitive
Australian Cattle Dog		Australia	287		https://www.fci.be/en/nomenclature/AUSTRALIAN-CATTLE-DOG-287.html	Sheepdogs	Definitive
Bouvier Des Ardennes		Belgium	171		https://www.fci.be/en/nomenclature/BOUVIER-DES-ARDENNES-171.html	Sheepdogs	Definitive
Bouvier Des Flandres-Vlaamse Koehond		Belgium, France	191	Bouvier Des Flandres	https://www.fci.be/en/nomenclature/BOUVIER-DES-FLANDRES-191.html	Sheepdogs	Definitive
Welsh Corgi (Cardigan)		Great Britain	38		https://www.fci.be/en/nomenclature/WELSH-CORGI-CARDIGAN-38.html	Sheepdogs	Definitive
Welsh Corgi (Pembroke)		Great Britain	39		https://www.fci.be/en/nomenclature/WELSH-CORGI-PEMBROKE-39.html	Sheepdogs	Definitive
